n,n_valid_boots,mean_tau,std_tau,ci_low,ci_high,ci_half_width
20,1000,0.9393865872588765,0.031740580214588414,0.8613976899100644,0.9835671715639338,0.061084740826934714
30,1000,0.9423144275409241,0.02368385196400934,0.8900286509426544,0.9766777421302999,0.04332454559382276
49,1000,0.9570389672111307,0.01416431930030776,0.9238168632240508,0.9788226264224624,0.02750288159920583
75,1000,0.9361503717921539,0.015073620471569361,0.9038260579413179,0.963012468830729,0.02959320544470556
100,1000,0.9379320650127208,0.011806571186513872,0.91380984834183,0.9592903717198136,0.022740261688991792
200,1000,0.9412335821704051,0.008096884452283999,0.9222069530359639,0.9549031899553891,0.016348118459712624
500,1000,0.9436818674313397,0.004297482784572417,0.9348057243456795,0.9514727027956024,0.00833348922496141
1000,1000,0.9416647830582214,0.0031606507382658435,0.9351059492244287,0.947788191750071,0.006341121262821159
2000,1000,0.9424862598467407,0.0019310261975837427,0.9384540170005398,0.9459353144578145,0.0037406487286373857
